task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
0,Centralized-DQN,3,edge_3,0,0,0.3,0,0,1,36.054221510576895,31.34052384442491,0.048280546916186655,0.7410553161551314,0.7544831009437439,1,0.046302849752599816,0.0019776971635868407,1.2597496318817138,0.8818247423171997,,,0,0.155,0.0,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
1,Centralized-DQN,3,edge_3,0,0,0.3,0,0,1,36.0729218836755,36.0076225752311,0.04962863249989515,0.7410212736985143,0.7519357828568102,1,0.04601177660735034,0.003616855892544808,1.1358982467651366,0.7951287727355956,,,0,0.155,3.6560349513753176,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
2,Centralized-DQN,2,edge_2,0,0,0.3,0,0,1,36.14925695353124,27.36868972250165,0.03663578967999219,0.7412936133514515,0.7552840983750772,1,0.03483608556224263,0.0017997041177495612,1.298694372177124,0.9090860605239868,,,0,0.155,0.0,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
3,Centralized-DQN,2,edge_2,0,0,0.3,0,0,1,35.22968697102193,27.88704322520999,0.03383042936113409,0.7408510614154286,0.737864251951417,1,0.03330606312160024,0.0005243662395338557,0.4517361068725586,0.31621527481079104,,,0,0.155,2.7474657124456843,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
4,Centralized-DQN,2,edge_2,0,0,0.3,0,0,1,35.736852051847094,25.450884100887475,0.035196351772033715,0.7410553161551314,0.7442782358641101,1,0.033876731891147045,0.0013196198808866685,0.7635859680175782,0.5345101776123047,,,0,0.155,5.570121670833796,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
5,Centralized-DQN,2,edge_2,0,0,0.3,0,0,1,35.99499748691157,32.00874454170885,0.03712698390132151,0.7415999954610057,0.7567566662074591,1,0.035013054713508025,0.0021139291878134784,1.3702910709381104,0.9592037496566772,,,0,0.155,7.674163812903143,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
6,Centralized-DQN,2,edge_2,0,0,0.3,0,0,1,36.398447385600065,39.492563342042104,0.03751291995420024,0.7406808491323429,0.7633758535710675,0,0.03540188816477468,0.002111031789425557,1.6921179866790772,1.184482590675354,,,0,0.155,11.505833050524846,2,edge_2,0,0,0.0,0.8,0.9216532001317784,0.845,1.0,0.7787969541113526,1,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
7,Centralized-DQN,2,edge_2,0,0,0.3,0,0,1,36.09107250072428,44.760370400791075,0.03737187796233514,0.7410553161551314,0.7592107544883026,0,0.035121108443163074,0.0022507695191720696,1.4896095943450929,1.042726716041565,,,0,0.155,17.74510730953902,2,edge_2,0,0,0.0,0.8,0.8063175567485122,0.845,1.0,0.6813383354524928,1,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
8,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,36.031704857811725,17.70605941671749,0.029520796768718494,0.7413616982646858,0.7579601350081441,1,0.028056916254706743,0.001463880514011747,1.4288040924072265,1.0001628646850584,,,0,0.155,0.0,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
9,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,36.00994255521653,22.621088135514203,0.028514165978860175,0.7408851038720458,0.7512957417658264,1,0.027545105832928237,0.00096906014593194,1.1047792530059817,0.773345477104187,,,0,0.155,1.1105606426427699,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
10,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,35.475054287677395,24.693916496118806,0.028836493083643586,0.7499744397888233,0.7417354305387689,1,0.02819540767266789,0.0006410854109756975,0.6399539947509766,0.4479677963256836,,,0,0.155,2.9486934590892724,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.17293699999999998,0.335923,0.0,0.003684
